"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G55360",308.004386751559,-2.10328908046051,0.580397895839076,-3.62387440674609,0.000290222574366528,0.00240363824411253
"AT1G23340",107.104776780637,-2.22340136418946,0.634155167884032,-3.50608412071799,0.000454751473416605,0.00349725537889437
"AT1G14360",62.8620450437127,-3.84636153125025,0.89168936413321,-4.31356668136242,1.60641658041469e-05,0.000184579169931442
"AT1G10470",335.875926037322,-2.02357763966576,0.449581729689692,-4.50102285309161,6.7627233537047e-06,8.33018508017778e-05
"AT1G78320",28.1431513206979,-5.16468971993759,1.31930546452303,-3.9147035003033,9.05153686933972e-05,0.000847433741680211
"AT1G33040",238.016112720836,-1.68888841013675,0.564715426461809,-2.99068934723171,0.00278348502316438,0.0163797387901596
"AT1G09460",184.243495532926,-2.09213925087412,0.527900751108386,-3.96312989985606,7.39735045130272e-05,0.000713948252919666
"AT1G42550",515.254313352273,-1.14800175322986,0.294508873397838,-3.89802093222189,9.69820351212294e-05,0.000903611461850685
"AT1G22630",156.080226363431,-1.64160942357789,0.489565730037401,-3.35319513367996,0.00079884365031521,0.00564334991850866
"AT1G29450",12.4141632502366,-7.12453187245932,2.25691395684769,-3.15675830301054,0.00159533520519382,0.0102038271540119
"AT1G69580",313.805882552284,-1.1812518823712,0.376027039014122,-3.14140144141825,0.00168141389755212,0.0106680697143139
"AT1G01770",137.376917073401,-1.70311502836029,0.580633140651779,-2.93320327263527,0.00335484165324931,0.0192547377808405
"AT1G32470",940.199712445404,-1.83961447131936,0.349464748832092,-5.2640916643734,1.40884149572587e-07,2.19010814335566e-06
"AT1G07200",206.479520472725,-1.99918153676236,0.440096310815835,-4.5426000800969,5.5564602490728e-06,6.93245920345692e-05
"AT1G19740",235.490096739343,-1.64954128690107,0.540448972040755,-3.05216842336168,0.00227194583728043,0.0137538248469208
"AT1G69200",132.632502853572,-2.09902264986672,0.709317073352273,-2.9592163063926,0.0030842253129796,0.0179676212120876
"AT1G49990",13.9983276346114,-7.30360042528623,2.09734616551578,-3.4823056610162,0.000497115905110508,0.00377808087883986
"AT1G63855",17.3330655177159,-4.15533201926986,1.49708835358743,-2.77560907431586,0.00550984141139182,0.0289117490666354
"AT1G48200",18.0848496003334,-5.92524960579769,1.73764858065869,-3.40992400405358,0.000649809835833879,0.00471513916081162
"AT1G04710",58.3190793513828,-2.91417312979036,1.07060450660762,-2.72198847642102,0.00648904051737485,0.0328634856864263
"AT1G33080",192.861518328949,-1.67981528482292,0.494369163007559,-3.39789657308628,0.000679060873946877,0.00488017295565778
"AT1G11380",69.1623549430144,-7.67078109321731,1.31429160123447,-5.83643773270134,5.33286791021766e-09,9.84295048571603e-08
"AT1G55805",58.5410457136655,-3.10719159662247,1.02501961626704,-3.03134842232422,0.00243464126765204,0.014547794789444
"AT1G34630",91.1372492688213,-2.70170572668643,1.00243774942672,-2.69513566127323,0.00703599780067356,0.0353563450415869
"AT1G05320",121.697664180673,-1.93395967683017,0.54664039236021,-3.53790115743182,0.000403321007827381,0.00318169381208737
"AT1G14900",93.957662294931,-3.15308352196985,1.15107885032145,-2.73924199118881,0.00615810282941483,0.0315169100794171
