"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G13490",44.2027175540683,9.02158585992942,1.66469729529755,5.41935514968016,5.98143899015626e-08,9.71399058345489e-07
"AT1G04370",44.1156978871609,9.01713412000693,1.54285041663567,5.84446426094219,5.08201129359923e-09,9.43987656900509e-08
"AT1G76470",313.540746639425,9.01233586470989,1.50156539099227,6.00196030008013,1.9494937398548e-09,3.80347537030732e-08
"AT1G69930",304.526258431147,8.99396286840192,0.86760881907487,10.3663801827097,3.52630492920907e-25,2.411992571579e-23
"AT1G10585",82.7500989405818,8.94937420288598,1.40751400744239,6.35828429100182,2.04019625042979e-10,4.39322259259216e-09
"AT1G66600",82.5466217963805,8.94764908396188,1.44717336375019,6.18284533704728,6.29563889428791e-10,1.30259233207793e-08
"AT1G51920",39.004434466918,8.83722019946239,1.60749381540456,5.49751427643181,3.85182139815235e-08,6.41675920024578e-07
"AT1G09240",39.8013214252847,-8.81132635811556,1.56129386693203,-5.64360531014574,1.66525588133379e-08,2.89008886390288e-07
"AT1G76480",36.2408900398584,8.73440951768804,1.63221071415243,5.35127569127839,8.73363471674286e-08,1.38735935090555e-06
"AT1G11610",36.1461911866316,8.7266006959793,1.62498510605519,5.37026503409865,7.86210097461955e-08,1.26621205170189e-06
"AT1G42980",35.982322071708,8.72516679370937,1.6743221343135,5.21116373898194,1.87659731219971e-07,2.89496140659973e-06
"AT1G26410",35.7485163199589,8.71459442482963,1.75514857954353,4.96516051484147,6.86442714888814e-07,9.80943110506914e-06
"AT1G08393",35.4289599608349,-8.63871296721335,1.85633631513672,-4.65363571071286,3.26132780975014e-06,4.21363553019718e-05
"AT1G53625",379.878533879719,8.58678524190008,0.766702172540957,11.1996359856948,4.09412282304635e-29,3.50047501370463e-27
"AT1G74080",31.4626056590022,8.52538845249727,1.66089393553392,5.13301197030179,2.85141764174644e-07,4.33982779296172e-06
"AT1G33615",31.762367807575,-8.48156268190389,1.84968764093383,-4.58540268865176,4.53112276939389e-06,5.76453999589849e-05
"AT1G52890",153.890974805751,8.47552749853006,1.0665284206484,7.94683698478224,1.91333923291215e-15,6.60387530084145e-14
"AT1G53990",30.4009825066211,8.47242912356694,2.01438613539234,4.20596080101434,2.5997529494593e-05,0.000279389346546328
"AT1G53970",30.1538625375153,8.4703168967006,1.71134088552905,4.94952055918541,7.43965191530671e-07,1.05241207385872e-05
"AT1G09932",654.437987231459,8.46603899719628,1.14024840104085,7.42473218069696,1.13008343804896e-13,3.36862405259615e-12
"AT1G71520",104.923509762963,8.4634702604653,1.1794735617449,7.17563371911832,7.1973010859326e-13,1.95537890250524e-11
"AT1G44130",30.0598996826957,8.46076397764994,1.70574128316794,4.96016838024605,7.04321022699433e-07,1.00053916781793e-05
"AT1G51330",29.9727910684392,8.45468651336415,1.71073783673872,4.94212867208328,7.72741865139416e-07,1.09046631163121e-05
"AT1G15385",29.3420231835484,8.4302635594356,1.71102859409699,4.92701500636506,8.34953445387803e-07,1.1754041964854e-05
"AT1G31173",30.4587723013827,-8.42396892016977,1.69663989103041,-4.96508950703363,6.86693921527888e-07,9.80943110506914e-06
"AT1G61410",28.897262260853,8.40864627831314,1.74034214676284,4.83160526448999,1.35436578231334e-06,1.84409429938402e-05
"AT1G14686",27.312556740946,8.3274483302658,2.2798926733399,3.65256155592035,0.000259637330010204,0.00218772671982511
"AT1G11572",26.5666718416979,8.28347260697731,1.72345080267295,4.80632959996898,1.53726388065479e-06,2.07852376793651e-05
"AT1G59865",166.980598768545,8.25139353414972,0.932138955927617,8.85210673974928,8.58825039301788e-19,4.12661882520711e-17
"AT1G28375",25.6238849869572,8.23083332663576,1.75213528803186,4.69760148252096,2.63234403229411e-06,3.47828368267226e-05
"AT1G59590",306.906683998053,8.225766415091,0.762421443795633,10.7890019123018,3.87980156903159e-27,3.09002278388352e-25
"AT1G49475",26.4096971296893,-8.2194766039009,1.73153525807217,-4.74692996609967,2.06527421770243e-06,2.75401474810136e-05
"AT1G24140",389.810259404633,8.19612196788949,0.653398132795013,12.5438405108831,4.29657188404255e-36,4.80389787188912e-34
"AT1G66570",24.7163439393088,8.18136649232889,1.92462926138439,4.25087919864838,2.12932998097514e-05,0.000233583481309235
"AT5G41610",23.6066743080471,8.11105973841103,2.30797704051854,3.5143589368587,0.000440816728733813,0.00340290163367388
"AT5G06790",24.3537436145565,-8.1068068558802,1.94855346687187,-4.16042310037023,3.17658563564991e-05,0.000335793979739428
"AT1G09470",24.0680935213686,-8.08419245750229,1.79292568785807,-4.5089389439002,6.51526541196584e-06,8.04241042572599e-05
